states,cities,population,violent_crime,murder,rape,robbery,agrv_assault,prop_crime,burglary,larceny,vehicle_theft
Texas,Conroe,"59,856",369.2,3.3,21.7,123.6,220.5,3443.3,746.8,2507.7,188.8
Texas,Coppell,"40,053",67.4,0.0,7.5,10.0,49.9,1655.3,322.1,1295.8,37.5
Florida,Coral Gables,"48,435",163.1,6.2,8.3,45.4,103.2,4701.1,844.4,3627.5,229.2
Oregon,Corvallis,"55,062",121.7,1.8,20.0,27.2,72.6,2575.3,426.8,2094.0,54.5
California,Covina,"48,588",310.8,4.1,26.8,113.2,166.7,3398.0,808.8,2202.2,386.9
Illinois,Crystal Lake,"40,785",152.0,0.0,17.2,24.5,110.3,1971.3,149.6,1782.5,39.2
California,Cupertino,"59,769",97.0,0.0,10.0,38.5,48.5,1333.5,292.8,952.0,88.7
Florida,Cutler Bay,"41,799",296.7,2.4,12.0,83.7,198.6,4440.3,574.2,3638.8,227.3
Ohio,Cuyahoga Falls,"49,470",131.4,0.0,34.4,26.3,70.7,2575.3,464.9,1989.1,121.3
California,Cypress,"48,976",114.3,0.0,4.1,34.7,75.5,2078.6,373.7,1574.2,130.7
California,Danville,"43,121",37.1,0.0,0.0,4.6,32.5,1025.0,218.0,767.6,39.4
Virginia,Danville,"43,324",311.6,6.9,34.6,124.6,145.4,4487.1,974.1,3409.2,103.9
Illinois,De Kalb,"43,722",448.3,0.0,77.8,64.0,306.5,2982.5,478.0,2449.6,54.9
Michigan,Dearborn Heights,"57,228",337.2,5.2,26.2,75.1,230.7,2201.7,655.3,1163.8,382.7
Alabama,Decatur,"56,126",427.6,3.6,16.0,142.5,265.5,5190.1,1462.8,3499.3,228.1
California,Delano,"54,318",504.4,0.0,11.0,97.6,395.8,2645.5,1003.4,1016.2,625.9
Illinois,Des Plaines,"58,644",110.8,0.0,6.8,22.2,81.8,1604.6,233.6,1290.8,80.1
Texas,Desoto,"50,795",259.9,2.0,21.7,84.7,151.6,3508.2,1224.5,2051.4,232.3
California,Diamond Bar,"56,470",97.4,0.0,1.8,30.1,65.5,1685.9,626.9,929.7,129.3
Florida,Doral,"47,427",177.1,0.0,10.5,33.7,132.8,4982.4,493.4,4151.6,337.4
Illinois,Downers Grove,"48,185",60.2,0.0,8.3,24.9,27.0,2062.9,325.8,1699.7,37.4
Utah,Draper,"43,600",98.6,2.3,13.8,9.2,73.4,1986.2,350.9,1552.8,82.6
California,Dublin,"47,004",178.7,0.0,8.5,42.5,127.6,1555.2,329.8,1110.5,114.9
Ohio,Dublin,"42,343",35.4,2.4,2.4,18.9,11.8,1284.7,226.7,1036.8,21.3
