states,cities,safety_index
Michigan,Royal Oak,359.50500000000005
Michigan,Saginaw Township,436.25000000000006
Michigan,Saginaw,1091.155
Massachusetts,Salem,507.095
Kansas,Salina,1035.9299999999998
Washington,Sammamish,157.115
California,San Bruno,447.345
California,San Gabriel,295.59
California,San Jacinto,669.095
California,San Luis Obispo,911.15
Texas,San Marcos,696.115
California,San Rafael,602.845
Florida,Sanford,1188.39
California,Santee,424.71
Florida,Sarasota,1235.51
New Jersey,Sayreville,285.15
Wisconsin,Sheboygan,677.125
Connecticut,Shelton,225.92
Washington,Shoreline,638.015
Arizona,Sierra Vista,698.75
Georgia,Smyrna,566.5649999999999
Tennessee,Smyrna,510.845
New Jersey,South Brunswick Township,246.07
Utah,South Jordan,400.12
New York,Southampton Town,420.545
Mississippi,Southaven,571.42
Connecticut,Southington,357.965
Michigan,St. Clair Shores,432.30500000000006
Minnesota,St. Louis Park,665.7750000000001
Missouri,St. Peters,555.5
Pennsylvania,State College,294.39000000000004
Oklahoma,Stillwater,678.9350000000001
Connecticut,Stratford,564.175
Illinois,Streamwood,372.525
Ohio,Strongsville,366.685
South Carolina,Summerville,593.69
South Carolina,Sumter,1210.7
Massachusetts,Taunton,390.34
New Jersey,Teaneck Township,314.57500000000005
Texas,Texas City,789.7
Oregon,Tigard,718.095
Illinois,Tinley Park,308.21
Florida,Titusville,858.9350000000001
New York,Tonawanda Town,403.9
New York,Troy,1057.15
Idaho,Twin Falls,620.19
Ohio,"Union Township, Clermont County",728.1
New Jersey,Union Township,370.68000000000006
Illinois,Urbana,768.575
Iowa,Urbandale,361.52
Georgia,Valdosta,912.98
Connecticut,Wallingford,417.72
Ohio,Warren,1116.54
New Jersey,"Washington Township, Gloucester County",488.36
California,Watsonville,611.8399999999999
Wisconsin,Wauwatosa,859.5950000000001
New Jersey,Wayne Township,460.215
New York,Webster Town and Village,227.89
Florida,Wellington,525.24
Ohio,West Chester Township,469.625
Iowa,West Des Moines,655.7249999999999
Connecticut,West Haven,571.77
New Jersey,West New York,342.62000000000006
New Jersey,West Orange,293.18499999999995
California,West Sacramento,624.645
New York,West Seneca Town,397.3
Massachusetts,Westfield,413.765
Massachusetts,Weymouth,348.995
Illinois,Wheaton,226.97000000000003
New York,White Plains,503.1450000000001
Pennsylvania,Wilkes-Barre,643.36
North Carolina,Wilson,1037.2600000000002
California,Woodland,636.42
Rhode Island,Woonsocket,697.635
Texas,Wylie,291.895
Pennsylvania,York,909.1
California,Yucaipa,382.155
California,Alameda,306.181
Georgia,Albany,439.8975
New York,Albany,504.02
California,Alhambra,296.875
Texas,Allen,234.11
Georgia,Alpharetta,226.33
California,Apple Valley,463.7
Wisconsin,Appleton,291.57
Illinois,Arlington Heights,217.33
North Carolina,Asheville,464.035
Washington,Auburn,369.1525
Arizona,Avondale,436.58
California,Baldwin Park,343.32000000000005
New Jersey,Bayonne,286.695
Texas,Baytown,349.1775
Oregon,Beaverton,242.03500000000005
California,Bellflower,377.74
Washington,Bellingham,392.145
Pennsylvania,Bensalem Township,324.47
Pennsylvania,Bethlehem,331.28
North Dakota,Bismarck,342.87500000000006
Illinois,Bloomington,348.015
Indiana,Bloomington,403.375
Minnesota,Bloomington,255.27000000000004
Florida,Boca Raton,335.085
Illinois,Bolingbrook,252.135
Louisiana,Bossier City,383.795
Florida,Boynton Beach,473.51
New Jersey,Brick Township,266.17
Connecticut,Bristol,336.18500000000006
Massachusetts,Brockton,545.005
Minnesota,Brooklyn Park,369.31500000000005
Texas,Bryan,379.555
California,Buena Park,317.03000000000003
Minnesota,Burnsville,277.735
California,Camarillo,230.88
New Jersey,Camden,479.0675
Ohio,Canton,435.0975
Indiana,Carmel,197.96500000000003
California,Carson,428.615
Illinois,Champaign,514.84
New York,Cheektowaga Town,303.16
New Jersey,Cherry Hill Township,286.085
Wyoming,Cheyenne,306.555
California,Chico,441.065
California,Chino Hills,271.04
California,Chino,404.375
Illinois,Cicero,445.9500000000001
California,Citrus Heights,425.495
New York,Clarkstown Town,210.34
New Jersey,Clifton,304.26
Michigan,Clinton Township,335.45
California,Clovis,455.35
Texas,College Station,387.455
New York,Colonie Town,244.81
California,Compton,513.61
Arkansas,Conway,393.49
Minnesota,Coon Rapids,260.62
Iowa,Council Bluffs,490.1675
Rhode Island,Cranston,315.45
Connecticut,Danbury,270.635
Florida,Davie,404.18
California,Davis,333.54999999999995
Florida,Daytona Beach,471.3125
Michigan,Dearborn,342.78000000000003
Illinois,Decatur,352.3675
Florida,Deerfield Beach,425.365
Florida,Delray Beach,498.565
Alabama,Dothan,358.4875
Minnesota,Duluth,407.3
Minnesota,Eagan,243.44
New Jersey,East Orange,380.56
Minnesota,Eden Prairie,213.34500000000003
Texas,Edinburg,361.0325
Oklahoma,Edmond,269.61
California,Encinitas,322.295
Illinois,Evanston,347.725
Connecticut,Fairfield,271.99
Massachusetts,Fall River,535.4200000000001
Michigan,Farmington Hills,254.56000000000003
Arkansas,Fayetteville,409.355
Washington,Federal Way,369.8575
Indiana,Fishers,210.595
Arizona,Flagstaff,311.86
Texas,Flower Mound,176.74
California,Folsom,263.46000000000004
Florida,Fort Myers,535.405
Arkansas,Fort Smith,405.1725
Massachusetts,Framingham,292.735
New Jersey,"Franklin Township, Somerset County",323.84
Tennessee,Franklin,220.35
Maryland,Frederick,339.525
Indiana,Gary,449.5875
North Carolina,Gastonia,379.93250000000006
New Jersey,Gloucester Township,364.07
Arizona,Goodyear,370.145
New York,Greece Town,289.76500000000004
Colorado,Greeley,371.715
North Carolina,Greenville,360.6625000000001
South Carolina,Greenville,542.16
Connecticut,Greenwich,122.49
Connecticut,Hamden,326.6
New Jersey,"Hamilton Township, Mercer County",333.34
Ohio,Hamilton,371.9725000000001
Indiana,Hammond,419.2425
Texas,Harlingen,450.95
Massachusetts,Haverhill,427.71
California,Hawthorne,449.81500000000005
California,Hemet,380.49750000000006
California,Hesperia,493.105
Oregon,Hillsboro,278.69000000000005
Florida,Homestead,385.4175
Alabama,Hoover,299.25500000000005
California,Indio,392.2725
Iowa,Iowa City,342.62
Tennessee,Jackson,359.2425
Wisconsin,Janesville,338.74
Georgia,Johns Creek,142.27
Tennessee,Johnson City,449.375
Arkansas,Jonesboro,350.81250000000006
California,Jurupa Valley,426.58
Michigan,Kalamazoo,411.8875
Louisiana,Kenner,343.595
Washington,Kennewick,357.3
Wisconsin,Kenosha,378.38
Florida,Kissimmee,420.8925
California,La Habra,306.045
Indiana,Lafayette,382.6825
California,Laguna Niguel,252.87500000000003
California,Lake Forest,257.31
Florida,Lakeland,356.4875
New Jersey,Lakewood Township,258.00000000000006
California,Lakewood,330.47
Pennsylvania,Lancaster,449.86
Florida,Largo,418.145
New Mexico,Las Cruces,474.47
Florida,Lauderhill,408.3175
Kansas,Lawrence,400.2
Massachusetts,Lawrence,543.71
Oklahoma,Lawton,430.4575
Utah,Layton,300.785
Texas,League City,265.15
Missouri,Lee's Summit,256.415
California,Livermore,319.065
Michigan,Livonia,277.34000000000003
California,Lodi,370.9575
Colorado,Longmont,299.38
Texas,Longview,379.9375
Ohio,Lorain,358.2275
Colorado,Loveland,276.82
Virginia,Lynchburg,331.735
Massachusetts,Lynn,479.04
California,Lynwood,399.825
Georgia,Macon,392.17750000000007
California,Madera,449.98750000000007
Massachusetts,Malden,350.735
California,Manteca,406.6
Minnesota,Maple Grove,235.195
Washington,Marysville,365.28
Oregon,Medford,408.205
Florida,Melbourne,496.64
California,Menifee,355.95000000000005
California,Merced,448.37750000000005
Connecticut,Meriden,395.55
Idaho,Meridian,252.045
Florida,Miami Beach,441.0175
New Jersey,Middletown Township,236.195
California,Milpitas,323.34000000000003
California,Mission Viejo,264.94000000000005
Texas,Mission,319.95000000000005
Montana,Missoula,355.02
Texas,Missouri City,269.45
