City,State,Cost of Living Index,State_Code,State_Name,Mean,Median,county_name,population,density,timezone,zips,average_temp_january,average_temp_february,average_temp_march,average_temp_april,average_temp_may,average_temp_june,average_temp_july,average_temp_august,average_temp_september,average_temp_october,average_temp_november,average_temp_december,safety_index,education_score
canton,oh,88.2,39,ohio,55294,58161,Stark,294047,1034.3,America/New_York,44714 44710 44702 44703 44706 44707 44704 44705 44708 44709 44711 44750 44799,31.62,29.04,34.980000000000004,45.16,56.370000000000005,66.25,71.91,72.84,69.56666666666666,61.35555555555556,48.55555555555556,38.25555555555556,45,55
casper,wy,94.2,56,wyoming,62251,54419,Natrona,66876,846.3,America/Denver,82609 82604 82601 82602 82605,22.380000000000003,22.42,27.7,36.03,43.89,54.61,63.85,66.02000000000001,60.56666666666667,49.577777777777776,37.28888888888889,27.11111111111111,85,65
cedar rapids,ia,88.1,19,iowa,97904,98874,Linn,191104,724,America/Chicago,52404 52405 52401 52411 52402 52403 52406 52407 52408 52409 52410 52497 52498 52499,23.51,20.47,28.56,41.68,53.55,65.56,72.22999999999999,72.08,68.43333333333334,58.55555555555556,43.91111111111111,31.8,80,70
champaign,il,89,17,illinois,15444,8760,Champaign,150179,1488.4,America/Chicago,61822 61820 61821 61824 61825 61826,30.31,27.58,34.64,46.15,57.59,68.37,73.99,74.15,71.15555555555555,62.400000000000006,48.48888888888889,37.355555555555554,65,80
charleston,wv,83.9,54,west virginia,36894,18272,Kanawha,129754,594.8,America/New_York,25387 25305 25304 25303 25302 25301 25311 25314 25317 25321 25322 25323 25324 25325 25326 25327 25328 25329 25330 25331 25332 25333 25334 25335 25336 25337 25338 25339 25350 25364 25375 25392 25396,34.410000000000004,32.77,38.43,47.18,57.15,65.52000000000001,70.88,72.12,69.04444444444444,61.388888888888886,49.31111111111111,40.2,55,55
charleston,sc,101.7,45,south carolina,97644,78926,Charleston,706884,503.3,America/New_York,29414 29424 29425 29455 29405 29407 29401 29403 29409 29492 29412 29402 29413 29417 29422 29457,48.02,47.74,52.620000000000005,59.14,67.11,74.66,79.55,80.25,77.48888888888888,70.68888889,59.833333333333336,51.96666666666667,70,65
charlottesville,va,102.1,51,virginia,45772,28009,Charlottesville,103760,1744.5,America/New_York,22908 22901 22902 22903 22904 22905 22906 22909,38.42,37.34,42.53,50.66,60.16,68.39,74.15,75.25,71.69999999999999,64.21111111111111,52.6,43.68888888888889,85,80
cheyenne,wy,96.9,56,wyoming,45079,300000,Laramie,78204,734,America/Denver,82009 82001 82007 82002 82003,22.380000000000003,22.42,27.7,36.03,43.89,54.61,63.85,66.02000000000001,60.56666666666667,49.577777777777776,37.28888888888889,27.11111111111111,85,65
chicago,il,100.1,17,illinois,67450,48321,Cook,8497759,4614.5,America/Chicago,60018 60649 60641 60640 60643 60642 60645 60644 60647 60646 60616 60617 60614 60615 60612 60613 60610 60611 60618 60619 60631 60827 60661 60660 60638 60639 60634 60636 60637 60630 60632 60633 60605 60604 60607 60606 60601 60603 60602 60609 60608 60106 60659 60652 60653 60656 60657 60654 60655 60651 60623 60622 60621 60620 60626 60625 60624 60629 60628 60707 60499 60664 60666 60668 60669 60670 60673 60674 60675 60677 60678 60680 60681 60684 60685 60686 60687 60688 60689 60690 60694 60695 60696 60699,30.31,27.58,34.64,46.15,57.59,68.37,73.99,74.15,71.15555555555555,62.400000000000006,48.48888888888889,37.355555555555554,35,75
chico,ca,110.5,6,california,84979,73616,Butte,110001,1152,America/Los_Angeles,95973 95926 95928 95929 95927 95976,45.25,46.98,49.85,54.49,60.010000000000005,67.62,75.06,77.17999999999999,73.80000000000001,66.31111111,56.93333333333333,48.47777777777778,60,65
cincinnati,oh,92.4,39,ohio,119823,105537,Hamilton,1692702,1530.6,America/New_York,45267 45219 45213 45212 45211 45217 45216 45214 45233 45226 45227 45225 45223 45229 45224 45232 45204 45205 45206 45207 45202 45203 45208 45209 45239 45238 45237 45220 45230 45201 45221 45250 45254 45262 45263 45264 45268 45269 45270 45271 45273 45274 45275 45296 45298 45299 45999,31.62,29.04,34.980000000000004,45.16,56.370000000000005,66.25,71.91,72.84,69.56666666666666,61.35555555555556,48.55555555555556,38.25555555555556,50,70
clarksville,tn,88.7,47,tennessee,38147,24986,Montgomery,210551,650.9,America/Chicago,42223 37043 37042 37040 37041 37044,40.77,39.85,45.82,53.78,62.510000000000005,70.96000000000001,76.22,76.92,73.98888888888888,66.52222222222223,54.5,45.67777777777778,65,65
cleveland,tn,89.5,47,tennessee,61017,44909,Bradley,72870,597,America/New_York,37312 37311 37320,40.77,39.85,45.82,53.78,62.510000000000005,70.96000000000001,76.22,76.92,73.98888888888888,66.52222222222223,54.5,45.67777777777778,60,60
cleveland,oh,90,39,ohio,106130,87111,Cuyahoga,1680247,1839.6,America/New_York,44135 44120 44119 44113 44112 44111 44110 44115 44114 44144 44128 44127 44104 44105 44106 44101 44102 44103 44108 44109 44181 44190 44191 44192 44193 44194 44195 44197 44198 44199,31.62,29.04,34.980000000000004,45.16,56.370000000000005,66.25,71.91,72.84,69.56666666666666,61.35555555555556,48.55555555555556,38.25555555555556,50,65
