states,cities,population,violent_crime,murder,rape,robbery,agrv_assault,prop_crime,burglary,larceny,vehicle_theft,total_crime,tot_violent_crime,tot_prop_crim,arson
California,Newport Beach,"87,286",115.7,1.1,12.6,30.9,71.0,"2,464.3",509.8,"1,845.7",108.8,,,,
Massachusetts,Newton,"86,710",87.6,-,5.8,19.6,62.3,"1,031.0",213.4,799.2,18.5,,,,
New Jersey,North Bergen Township,"61,747",144.1,3.2,11.3,58.3,71.3,"1,183.9",200.8,803.3,179.8,,,,
Arkansas,North Little Rock,"63,125",711.3,12.7,14.3,280.4,404.0,"8,666.9","1,907.3","6,168.7",590.9,,,,
Florida,North Miami,"60,964",854.6,4.9,34.4,351.0,464.2,"4,876.6","1,286.0","3,100.2",490.5,,,,
Texas,North Richland Hills,"65,750",258.6,1.5,27.4,35.0,194.7,"2,390.9",457.8,"1,817.5",115.6,,,,
Pennsylvania,Northern York Regional,"66,974",98.5,3.0,4.5,20.9,70.2,"1,736.5",150.8,"1,523.0",62.7,,,,
Connecticut,Norwalk,"86,693",313.8,3.5,10.4,78.4,221.5,"1,975.9",288.4,"1,559.5",128.0,,,,
Missouri,O'Fallon,"80,670",91.7,2.5,6.2,5.0,78.1,"1,544.6",155.0,"1,363.6",26.0,,,,
Utah,Ogden,"85,083",414.9,2.4,29.4,112.8,270.3,"4,702.5",862.7,"3,585.9",253.9,,,,
New Jersey,Old Bridge Township,"66,057",84.8,3.0,3.0,22.7,56.0,"1,380.6",216.5,"1,074.8",89.3,,,,
Utah,Orem,"91,953",44.6,2.2,12.0,22.8,7.6,"2,357.7",220.8,"2,052.1",84.8,,,,
Wisconsin,Oshkosh,"66,514",287.2,-,19.5,27.1,240.6,"2,588.9",511.2,"2,022.1",55.6,,,,
Illinois,Palatine,"68,890",42.1,1.5,8.7,11.6,20.3,"1,293.4",47.9,"1,215.0",30.5,,,,
California,Palo Alto,"66,019",80.3,-,6.1,39.4,34.8,"2,134.2",495.3,"1,566.2",72.7,,,,
Ohio,Parma,"80,963",69.2,-,4.9,17.3,46.9,557.0,58.1,491.6,7.4,,,,
Washington,Pasco,"63,806",304.0,1.6,20.4,64.3,217.8,"2,606.3",656.7,"1,686.4",263.3,,,,
New Jersey,Passaic,"70,237",730.4,8.5,2.8,330.3,388.7,"2,077.3",625.0,"1,228.7",223.5,,,,
Rhode Island,Pawtucket,"71,085",405.1,5.6,49.2,113.9,236.3,"3,445.2",955.2,"1,959.6",530.4,,,,
Texas,Pearland,"94,702",129.9,1.1,19.0,29.6,80.3,"1,851.1",292.5,"1,470.9",87.6,,,,
California,Perris,"70,616",339.9,4.2,8.5,133.1,194.0,"2,946.9",691.1,"1,583.2",672.7,,,,
Texas,Pharr,"73,599",366.9,-,19.0,59.8,288.0,"3,157.7",750.0,"2,212.0",195.7,,,,
California,Pico Rivera,"63,988",407.9,1.6,9.4,143.8,253.2,"2,781.8",545.4,"1,661.2",575.1,,,,
California,Pittsburg,"64,890",234.2,4.6,9.2,127.9,92.5,"3,247.0","1,141.9","1,269.8",835.3,,,,
Florida,Plantation,"87,705",317.0,4.6,12.5,144.8,155.1,"3,925.7",800.4,"2,909.8",215.5,,,,
California,Pleasanton,"71,875",68.2,1.4,5.6,25.0,36.2,"1,779.5",229.6,"1,384.3",165.6,,,,
Minnesota,Plymouth,"72,020",,-,,19.4,26.4,"1,663.4",358.2,"1,262.1",43.0,,,,
Maine,Portland,"66,413",260.5,1.5,49.7,123.5,85.8,"3,963.1",618.9,"3,220.8",123.5,,,,
Virginia,Portsmouth,"96,739",476.5,11.4,42.4,188.1,234.7,"4,983.5","1,259.1","3,506.3",218.1,,,,
Massachusetts,Quincy,"93,736",427.8,-,33.1,89.6,305.1,"1,657.8",528.1,"1,006.0",123.8,,,,
Wisconsin,Racine,"79,055",473.1,5.1,39.2,266.9,161.9,"4,023.8","1,392.7","2,466.6",164.4,,,,
New York,Ramapo Town,"85,448",93.6,-,5.9,15.2,72.6,837.9,160.3,658.9,18.7,,,,
California,Rancho Cordova,"66,214",593.5,13.6,42.3,169.1,368.5,"3,182.1",635.8,"2,060.0",486.3,,,,
South Dakota,Rapid City,"69,979",607.3,5.7,158.6,78.6,364.4,"5,080.1",844.5,"3,906.9",328.7,,,,
Pennsylvania,Reading,"88,557",935.0,16.9,49.7,431.4,437.0,"4,078.7","1,634.0","1,839.5",605.3,,,,
California,Redding,"90,974",774.9,3.3,72.5,144.0,555.1,"4,814.6","1,195.9","3,066.8",551.8,,,,
California,Redlands,"70,399",313.9,2.8,21.3,106.5,183.2,"4,250.1",863.6,"2,818.2",568.2,,,,
California,Redondo Beach,"67,856",280.0,5.9,8.8,75.2,190.1,"2,352.0",392.0,"1,802.3",157.7,,,,
California,Redwood City,"78,466",265.1,-,16.6,112.2,136.4,"2,294.0",670.4,"1,428.6",195.0,,,,
Washington,Renton,"93,722",302.0,2.1,28.8,122.7,148.3,"4,867.6",957.1,"3,252.2",658.3,,,,
New Mexico,Rio Rancho,"89,462",225.8,2.2,25.7,23.5,174.4,"2,128.3",406.9,"1,548.1",173.3,,,,
Virginia,Roanoke,"97,780",554.3,9.2,40.9,144.2,360.0,"4,879.3",961.3,"3,664.3",253.6,,,,
South Carolina,Rock Hill,"68,064",656.7,11.8,52.9,164.6,427.5,"3,783.2",592.1,"2,950.2",240.9,,,,
Georgia,Roswell,"92,141",143.3,1.1,7.6,68.4,66.2,"1,867.8",433.0,"1,332.7",102.0,,,,
California,San Clemente,"65,089",115.2,-,9.2,36.9,69.1,"1,289.0",268.9,926.4,93.7,,,,
California,San Leandro,"86,869",503.1,2.3,17.3,312.0,171.5,"4,126.9",804.7,"2,410.5",911.7,,,,
California,San Marcos,"85,810",264.5,2.3,12.8,66.4,183.0,"1,750.4",426.5,"1,057.0",266.9,,,,
California,San Mateo,"99,303",262.8,-,13.1,81.6,168.2,"1,889.2",287.0,"1,458.2",144.0,,,,
California,San Ramon,"74,013",60.8,-,4.1,17.6,39.2,"1,148.4",197.3,855.3,95.9,,,,
Georgia,Sandy Springs,"97,890",191.0,3.1,5.1,100.1,82.7,"2,809.3",724.3,"1,911.3",173.7,,,,
Utah,Sandy,"90,405",162.6,2.2,26.5,38.7,95.1,"2,945.6",501.1,"2,287.5",157.1,,,,
California,Santa Barbara,"89,871",403.9,-,59.0,105.7,239.2,"3,466.1",620.9,"2,697.2",148.0,,,,
California,Santa Cruz,"60,902",711.0,4.9,55.8,136.3,513.9,"5,886.5",865.3,"4,587.7",433.5,,,,
New Mexico,Santa Fe,"68,751",481.4,2.9,21.8,158.5,298.2,"5,668.3","2,773.8","2,641.4",253.1,,,,
California,Santa Monica,"91,215",433.0,2.2,25.2,165.5,240.1,"3,725.3",642.4,"2,887.7",195.1,,,,
Illinois,Schaumburg,"74,585",91.2,-,17.4,24.1,49.6,"3,334.5",266.8,"2,984.5",83.1,,,,
New York,Schenectady,"66,631",939.5,10.5,48.0,298.7,582.3,"4,244.3","1,215.7","2,815.5",213.1,,,,
Pennsylvania,Scranton,"76,118",331.1,-,30.2,169.5,131.4,"3,354.0",842.1,"2,359.5",152.4,,,,
Kansas,Shawnee,"63,542",133.8,-,17.3,18.9,97.6,"1,668.2",239.2,"1,210.2",218.8,,,,
Michigan,Shelby Township,"73,960",116.3,-,27.0,12.2,77.1,"1,417.0",220.4,"1,137.1",59.5,,,,
Iowa,Sioux City,"83,289",329.0,2.4,36.0,55.2,235.3,"4,166.2",745.6,"3,175.7",244.9,,,,
Illinois,Skokie,"65,096",205.8,-,26.1,56.8,122.9,"2,422.6",436.3,"1,892.6",93.7,,,,
Massachusetts,Somerville,"77,200",348.4,-,29.8,106.2,212.4,"2,233.2",450.8,"1,616.6",165.8,,,,
