City,State,Cost of Living Index,State_Code,State_Name,Mean,Median,county_name,population,density,timezone,zips,Total.Math,Total.Verbal,Academic Subjects.English.Average GPA,Academic Subjects.Mathematics.Average GPA,average_temp_january,average_temp_february,average_temp_march,average_temp_april,average_temp_may,average_temp_june,average_temp_july,average_temp_august,average_temp_september,average_temp_october,average_temp_november,average_temp_december,safety_index
alexandria,la,86.2,22,louisiana,59070,43651,Rapides,77109,611.6,America/Chicago,71302 71303 71301 71307 71309 71315 71348,561,564,3.65,3.5,51.92,51.77,57.39,63.620000000000005,70.2,77.27000000000001,81.53,82.31,80.56666666666666,74.32222222222222,63.888888888888886,56.16666666666666,264.2425
auburn,ny,93.7,36,new york,33105,27876,Cayuga,26674,1235.6,America/New_York,13021 13024 13022,502,489,3.41,3.15,25.51,22.45,27.27,37.22,49.98,60.42999999999999,66.99,68.94,64.69999999999999,56.13333333333333,43.91111111111111,33.166666666666664,757.415
auburn,ny,93.7,36,new york,33105,27876,Cayuga,26674,1235.6,America/New_York,13021 13024 13022,502,489,3.41,3.15,25.51,22.45,27.27,37.22,49.98,60.42999999999999,66.99,68.94,64.69999999999999,56.13333333333333,43.91111111111111,33.166666666666664,369.1525
auburn,al,91.9,1,alabama,59694,38029,Lee,105386,476.6,America/Chicago,36849 36832 36830 36831,541,547,3.67,3.47,47.94,47.85,53.67,59.98,67.05,74.59,79.2,79.95,77.9,71.35555555555555,60.15555555555555,52.16666666666666,757.415
auburn,al,91.9,1,alabama,59694,38029,Lee,105386,476.6,America/Chicago,36849 36832 36830 36831,541,547,3.67,3.47,47.94,47.85,53.67,59.98,67.05,74.59,79.2,79.95,77.9,71.35555555555555,60.15555555555555,52.16666666666666,369.1525
baton rouge,la,91.1,22,louisiana,56178,39487,East Baton Rouge,635671,1001.4,America/Chicago,70836 70808 70809 70802 70803 70801 70806 70807 70805 70820 70825 70819 70813 70812 70815 70814 70816 70804 70821 70822 70823 70827 70831 70833 70835 70873 70874 70891 70892 70893 70894 70895 70898,561,564,3.65,3.5,51.92,51.77,57.39,63.620000000000005,70.2,77.27000000000001,81.53,82.31,80.56666666666666,74.32222222222222,63.888888888888886,56.16666666666666,470.62750000000005
baton rouge,la,91.1,22,louisiana,56178,39487,East Baton Rouge,635671,1001.4,America/Chicago,70836 70808 70809 70802 70803 70801 70806 70807 70805 70820 70825 70819 70813 70812 70815 70814 70816 70804 70821 70822 70823 70827 70831 70833 70835 70873 70874 70891 70892 70893 70894 70895 70898,561,564,3.65,3.5,51.92,51.77,57.39,63.620000000000005,70.2,77.27000000000001,81.53,82.31,80.56666666666666,74.32222222222222,63.888888888888886,56.16666666666666,470.9515
bloomington,in,92.4,18,indiana,65041,300000,Monroe,108387,1312.0,America/Indiana/Indianapolis,47405 47408 47401 47403 47404 47406 47407,501,496,3.41,3.17,31.3,28.85,35.3,45.9,57.15,67.45,72.88,73.28,70.26666666666667,61.977777777777774,48.62222222222223,37.922222222222224,348.015
bloomington,in,92.4,18,indiana,65041,300000,Monroe,108387,1312.0,America/Indiana/Indianapolis,47405 47408 47401 47403 47404 47406 47407,501,496,3.41,3.17,31.3,28.85,35.3,45.9,57.15,67.45,72.88,73.28,70.26666666666667,61.977777777777774,48.62222222222223,37.922222222222224,403.375
bloomington,in,92.4,18,indiana,65041,300000,Monroe,108387,1312.0,America/Indiana/Indianapolis,47405 47408 47401 47403 47404 47406 47407,501,496,3.41,3.17,31.3,28.85,35.3,45.9,57.15,67.45,72.88,73.28,70.26666666666667,61.977777777777774,48.62222222222223,37.922222222222224,255.27000000000004
