states,cities,population,violent_crime,murder,rape,robbery,agrv_assault,prop_crime,burglary,larceny,vehicle_theft,safety_index
Florida,Largo,"78,783",500.1,1.3,54.6,144.7,299.6,827.7,728.6,813.4,165.0,418.145
New Mexico,Las Cruces,"99,824",394.7,5.0,56.1,70.1,263.5,827.7,992.7,813.4,214.4,474.47
Florida,Lauderhill,"69,046",850.2,11.6,27.5,350.5,460.6,827.7,494.4500000000001,813.4,267.9,408.3175
Kansas,Lawrence,"89,180",414.9,3.1,58.3,59.4,297.2,827.7,677.3,813.4,227.6,400.2
Massachusetts,Lawrence,"77,661",303.0,2.6,32.2,287.1,688.9,827.7,690.2,956.7,883.3,543.71
Oklahoma,Lawton,"98,781",931.4,13.2,38.5,175.1,704.6,827.7,494.4500000000001,813.4,302.7,430.45750000000004
Utah,Layton,"69,420",121.0,3.1,47.5,10.1,63.4,827.7,469.6,813.4,99.4,300.785
Texas,League City,"86,127",91.7,3.1,18.6,32.5,40.6,827.7,347.2,813.4,80.1,265.15
Missouri,Lee's Summit,"91,840",118.7,3.1,14.2,26.1,78.4,827.7,286.4,813.4,117.6,256.415
California,Livermore,"82,800",363.5,3.1,18.1,38.6,306.8,827.7,374.4,813.4,212.6,319.065
Michigan,Livonia,"96,028",152.0,3.1,19.8,33.3,95.8,827.7,336.4,813.4,208.3,277.34000000000003
California,Lodi,"63,718",439.4,3.1,18.8,135.0,282.5,827.7,494.4500000000001,813.4,528.9,370.95750000000004
Colorado,Longmont,"88,925",211.4,3.1,12.4,33.7,165.3,827.7,403.7,813.4,118.1,299.38
Texas,Longview,"82,554",560.8,8.5,33.9,158.7,359.8,827.7,494.4500000000001,813.4,382.8,379.9375
Ohio,Lorain,"64,148",506.6,6.2,53.0,212.0,235.4,827.7,494.4500000000001,813.4,183.9,358.2275
Colorado,Loveland,"69,147",209.7,3.1,31.8,31.8,146.1,827.7,328.3,813.4,66.5,276.82
Virginia,Lynchburg,"77,347",345.2,3.9,44.0,59.5,237.9,827.7,471.9,813.4,89.2,331.73499999999996
Massachusetts,Lynn,"91,846",820.9,2.2,52.3,185.1,581.4,827.7,760.0,813.4,301.6,479.03999999999996
California,Lynwood,"70,908",763.0,12.7,33.8,297.6,418.9,827.7,493.6,709.4,733.3,399.825
Georgia,Macon,"92,836",628.0,22.6,44.2,260.7,300.5,827.7,494.4500000000001,813.4,538.6,392.17750000000007
California,Madera,"62,796",742.1,3.2,30.3,181.5,527.1,827.7,494.4500000000001,990.5,551.0,449.98750000000007
Massachusetts,Malden,"60,605",462.0,1.7,31.4,123.8,305.3,827.7,463.7,813.4,211.2,350.735
California,Manteca,"68,887",384.7,3.1,16.0,120.5,248.2,827.7,659.1,813.4,556.0,406.6
Minnesota,Maple Grove,"62,840",303.0,3.1,23.55,17.5,20.7,827.7,251.4,813.4,39.8,235.19500000000002
Washington,Marysville,"61,381",189.0,3.3,26.1,58.7,101.0,827.7,648.4,813.4,327.5,365.28
Oregon,Medford,"76,037",558.9,2.6,51.3,84.2,420.8,827.7,627.3,813.4,232.8,408.205
Florida,Melbourne,"77,133",853.1,7.8,62.2,172.4,610.6,827.7,840.1,813.4,154.3,496.64
California,Menifee,"80,047",108.7,1.2,5.0,30.0,72.5,827.7,633.4,813.4,407.3,355.95000000000005
California,Merced,"80,976",303.0,11.1,30.9,265.5,692.8,827.7,494.4500000000001,813.4,537.2,448.37750000000005
Connecticut,Meriden,"60,934",364.3,8.2,41.0,124.7,190.4,827.7,690.9,813.4,275.7,395.55
Idaho,Meridian,"77,270",119.1,3.1,16.8,11.6,90.6,827.7,284.7,813.4,25.9,252.045
Florida,Miami Beach,"91,066",303.0,5.5,46.1,446.9,534.8,827.7,494.4500000000001,813.4,487.6,441.0175
New Jersey,Middletown Township,"66,919",67.2,1.5,9.0,12.0,44.8,827.7,240.6,829.4,22.4,236.195
California,Milpitas,"68,433",118.4,1.5,16.1,49.7,51.1,827.7,485.1,813.4,498.3,323.34000000000003
California,Mission Viejo,"95,599",76.4,3.1,3.1,29.3,43.9,827.7,225.9,979.1,47.1,264.94000000000005
Texas,Mission,"80,557",129.1,3.7,7.4,57.1,60.8,827.7,525.1,813.4,197.4,319.95000000000005
Montana,Missoula,"67,758",326.2,3.1,36.9,48.7,240.6,827.7,557.9,813.4,155.0,355.02
Texas,Missouri City,"70,819",121.4,3.1,11.3,48.0,62.1,827.7,309.2,865.6,66.4,269.45
California,Montebello,"63,538",229.8,4.7,6.3,105.4,113.3,827.7,494.4500000000001,978.9,684.6,382.49250000000006
California,Monterey Park,"61,270",122.4,6.5,1.6,68.5,45.7,827.7,406.4,899.3,362.3,314.415
South Carolina,Mount Pleasant,"70,016",218.5,3.1,7.1,8.6,202.8,827.7,245.7,813.4,82.8,260.7
New York,Mount Vernon,"68,146",899.5,14.7,20.5,330.2,534.1,827.7,475.4,813.4,198.1,408.82500000000005
California,Mountain View,"75,933",204.1,3.1,6.6,44.8,152.8,827.7,234.4,813.4,150.1,257.31
Indiana,Muncie,"70,300",367.0,1.4,12.8,140.8,211.9,827.7,981.5,813.4,288.8,469.85
Idaho,Nampa,"83,316",243.7,2.4,52.8,24.0,164.4,827.7,612.1,813.4,96.0,353.20500000000004
California,Napa,"78,589",274.8,2.5,21.6,49.6,201.0,827.7,444.1,813.4,281.2,325.41
New Hampshire,Nashua,"86,870",234.8,3.1,42.6,55.3,137.0,827.7,431.7,813.4,96.7,306.24499999999995
Massachusetts,New Bedford,"96,031",303.0,2.1,56.2,283.2,731.0,827.7,967.4,813.4,313.4,564.1049999999999
Texas,New Braunfels,"60,482",190.1,1.7,31.4,44.6,112.4,827.7,496.0,813.4,152.1,319.0
Connecticut,New Britain,"73,458",431.5,4.1,6.8,243.7,177.0,827.7,494.4500000000001,813.4,535.0,365.25750000000005
New York,New Rochelle,"78,025",232.0,3.1,3.8,116.6,111.5,827.7,230.7,813.4,83.3,253.75
California,Newport Beach,"87,286",115.7,1.1,12.6,30.9,71.0,827.7,509.8,813.4,108.8,310.735
Massachusetts,Newton,"86,710",87.6,3.1,5.8,19.6,62.3,827.7,213.4,799.2,18.5,226.46500000000003
New Jersey,North Bergen Township,"61,747",144.1,3.2,11.3,58.3,71.3,827.7,200.8,803.3,179.8,237.985
Arkansas,North Little Rock,"63,125",711.3,12.7,14.3,280.4,404.0,827.7,494.4500000000001,813.4,590.9,407.81250000000006
Florida,North Miami,"60,964",854.6,4.9,34.4,351.0,464.2,827.7,494.4500000000001,813.4,490.5,419.7225
Texas,North Richland Hills,"65,750",258.6,1.5,27.4,35.0,194.7,827.7,457.8,813.4,115.6,318.58
Pennsylvania,Northern York Regional,"66,974",98.5,3.0,4.5,20.9,70.2,827.7,150.8,813.4,62.7,217.035
Connecticut,Norwalk,"86,693",313.8,3.5,10.4,78.4,221.5,827.7,288.4,813.4,128.0,283.80999999999995
Missouri,O'Fallon,"80,670",91.7,2.5,6.2,5.0,78.1,827.7,155.0,813.4,26.0,215.94
Utah,Ogden,"85,083",414.9,2.4,29.4,112.8,270.3,827.7,862.7,813.4,253.9,446.175
New Jersey,Old Bridge Township,"66,057",84.8,3.0,3.0,22.7,56.0,827.7,216.5,813.4,89.3,232.69000000000003
Utah,Orem,"91,953",44.6,2.2,12.0,22.8,7.6,827.7,220.8,813.4,84.8,227.07000000000002
Wisconsin,Oshkosh,"66,514",287.2,3.1,19.5,27.1,240.6,827.7,511.2,813.4,55.6,334.47499999999997
Illinois,Palatine,"68,890",42.1,1.5,8.7,11.6,20.3,827.7,47.9,813.4,30.5,181.48000000000002
California,Palo Alto,"66,019",80.3,3.1,6.1,39.4,34.8,827.7,495.3,813.4,72.7,300.375
Ohio,Parma,"80,963",69.2,3.1,4.9,17.3,46.9,557.0,58.1,491.6,7.4,122.935
Washington,Pasco,"63,806",304.0,1.6,20.4,64.3,217.8,827.7,656.7,813.4,263.3,381.40000000000003
New Jersey,Passaic,"70,237",730.4,8.5,2.8,330.3,388.7,827.7,625.0,813.4,223.5,422.995
Rhode Island,Pawtucket,"71,085",405.1,5.6,49.2,113.9,236.3,827.7,955.2,813.4,530.4,480.59499999999997
Texas,Pearland,"94,702",129.9,1.1,19.0,29.6,80.3,827.7,292.5,813.4,87.6,257.255
California,Perris,"70,616",339.9,4.2,8.5,133.1,194.0,827.7,691.1,813.4,672.7,412.98
Texas,Pharr,"73,599",366.9,3.1,19.0,59.8,288.0,827.7,750.0,813.4,195.7,411.51000000000005
California,Pico Rivera,"63,988",407.9,1.6,9.4,143.8,253.2,827.7,545.4,813.4,575.1,381.325
California,Pittsburg,"64,890",234.2,4.6,9.2,127.9,92.5,827.7,494.4500000000001,813.4,835.3,356.3325
Florida,Plantation,"87,705",317.0,4.6,12.5,144.8,155.1,827.7,800.4,813.4,215.5,413.24
California,Pleasanton,"71,875",68.2,1.4,5.6,25.0,36.2,827.7,229.6,813.4,165.6,237.06
Minnesota,Plymouth,"72,020",303.0,3.1,23.55,19.4,26.4,827.7,358.2,813.4,43.0,263.09999999999997
Maine,Portland,"66,413",260.5,1.5,49.7,123.5,85.8,827.7,618.9,813.4,123.5,353.995
Virginia,Portsmouth,"96,739",476.5,11.4,42.4,188.1,234.7,827.7,494.4500000000001,813.4,218.1,357.1625
Massachusetts,Quincy,"93,736",427.8,3.1,33.1,89.6,305.1,827.7,528.1,813.4,123.8,359.39500000000004
Wisconsin,Racine,"79,055",473.1,5.1,39.2,266.9,161.9,827.7,494.4500000000001,813.4,164.4,350.17250000000007
New York,Ramapo Town,"85,448",93.6,3.1,5.9,15.2,72.6,837.9,160.3,658.9,18.7,186.255
California,Rancho Cordova,"66,214",593.5,13.6,42.3,169.1,368.5,827.7,635.8,813.4,486.3,424.4
South Dakota,Rapid City,"69,979",607.3,5.7,158.6,78.6,364.4,827.7,844.5,813.4,328.7,469.475
Pennsylvania,Reading,"88,557",935.0,16.9,49.7,431.4,437.0,827.7,494.4500000000001,813.4,605.3,432.7525
California,Redding,"90,974",774.9,3.3,72.5,144.0,555.1,827.7,494.4500000000001,813.4,551.8,419.2925
California,Redlands,"70,399",313.9,2.8,21.3,106.5,183.2,827.7,863.6,813.4,568.2,447.67
California,Redondo Beach,"67,856",280.0,5.9,8.8,75.2,190.1,827.7,392.0,813.4,157.7,306.365
California,Redwood City,"78,466",265.1,3.1,16.6,112.2,136.4,827.7,670.4,813.4,195.0,373.83500000000004
Washington,Renton,"93,722",302.0,2.1,28.8,122.7,148.3,827.7,957.1,813.4,658.3,472.58000000000004
New Mexico,Rio Rancho,"89,462",225.8,2.2,25.7,23.5,174.4,827.7,406.9,813.4,173.3,304.48
Virginia,Roanoke,"97,780",554.3,9.2,40.9,144.2,360.0,827.7,961.3,813.4,253.6,489.575
South Carolina,Rock Hill,"68,064",656.7,11.8,52.9,164.6,427.5,827.7,592.1,813.4,240.9,410.39500000000004
Georgia,Roswell,"92,141",143.3,1.1,7.6,68.4,66.2,827.7,433.0,813.4,102.0,293.725
California,San Clemente,"65,089",115.2,3.1,9.2,36.9,69.1,827.7,268.9,926.4,93.7,272.63
California,San Leandro,"86,869",503.1,2.3,17.3,312.0,171.5,827.7,804.7,813.4,911.7,468.44000000000005
California,San Marcos,"85,810",264.5,2.3,12.8,66.4,183.0,827.7,426.5,813.4,266.9,318.365
California,San Mateo,"99,303",262.8,3.1,13.1,81.6,168.2,827.7,287.0,813.4,144.0,276.795
California,San Ramon,"74,013",60.8,3.1,4.1,17.6,39.2,827.7,197.3,855.3,95.9,233.695
Georgia,Sandy Springs,"97,890",191.0,3.1,5.1,100.1,82.7,827.7,724.3,813.4,173.7,375.83
Utah,Sandy,"90,405",162.6,2.2,26.5,38.7,95.1,827.7,501.1,813.4,157.1,316.92500000000007
California,Santa Barbara,"89,871",403.9,3.1,59.0,105.7,239.2,827.7,620.9,813.4,148.0,378.12
California,Santa Cruz,"60,902",711.0,4.9,55.8,136.3,513.9,827.7,865.3,813.4,433.5,497.71000000000004
New Mexico,Santa Fe,"68,751",481.4,2.9,21.8,158.5,298.2,827.7,494.4500000000001,813.4,253.1,362.14250000000004
