states,cities,population,violent_crime,murder,rape,robbery,agrv_assault,prop_crime,burglary,larceny,vehicle_theft
Illinois,Rockford,"152,293",393.7,5.9,81.4,327.7,952.8,,548.45,921.8,250.2
California,Roseville,"122,896",238.4,1.6,12.2,68.4,156.2,,422.3,921.8,189.6
Texas,Round Rock,"106,232",132.7,4.05,30.1,42.4,60.2,,316.3,921.8,73.4
Oregon,Salem,"157,353",358.4,4.4,25.4,87.7,240.9,,662.8,921.8,463.9
California,Salinas,"154,413",665.1,13.6,26.6,316.0,308.9,,788.8,921.8,700.7
Utah,Salt Lake City,"192,465",675.4,4.2,63.4,164.2,443.7,,947.7,921.8,886.4
California,San Bernardino,"214,987",940.5,21.9,26.0,373.5,519.1,,548.45,921.8,259.95
California,Santa Clara,"119,360",185.2,4.05,8.4,51.1,125.7,,489.3,921.8,376.2
California,Santa Clarita,"179,248",190.8,0.6,16.7,53.6,119.9,,343.7,921.8,169.6
California,Santa Maria,"101,207",681.8,4.05,20.7,143.3,517.8,,703.5,921.8,395.2
California,Santa Rosa,"170,862",372.2,1.2,39.2,73.7,258.1,,424.3,921.8,184.9
Georgia,Savannah-Chatham Metropolitan,"231,285",379.6,9.9,10.8,212.3,146.6,,900.6,921.8,284.9
Arizona,Scottsdale,"223,432",147.2,1.3,18.8,51.5,75.6,,561.7,921.8,107.9
Louisiana,Shreveport,"202,164",766.7,8.4,45.5,214.2,498.6,,548.45,921.8,229.5
California,Simi Valley,"126,686",111.3,2.4,5.5,28.4,75.0,,314.2,921.8,97.9
South Dakota,Sioux Falls,"158,354",398.5,1.3,87.8,44.2,265.2,,567.7,921.8,188.8
Indiana,South Bend,"101,398",613.4,17.8,54.2,311.6,229.8,,548.45,921.8,281.1
Washington,Spokane,"212,163",645.3,6.1,38.2,253.1,347.8,,548.45,921.8,987.4
Illinois,Springfield,"117,131",971.6,8.5,64.9,222.0,676.2,,548.45,921.8,206.6
Massachusetts,Springfield,"154,518",393.7,7.1,25.2,350.8,656.2,,548.45,921.8,491.9
Missouri,Springfield,"160,962",991.5,9.9,87.6,219.3,674.7,,548.45,921.8,652.9
Florida,St. Petersburg,"248,340",901.6,6.0,37.9,235.6,622.1,,548.45,921.8,352.7
Connecticut,Stamford,"124,201",282.6,4.0,20.1,116.7,141.7,,233.5,921.8,136.9
Michigan,Sterling Heights,"129,974",178.5,3.1,12.3,23.1,140.0,,274.7,921.8,124.6
California,Sunnyvale,"143,606",118.4,2.1,9.7,49.4,57.1,,364.9,921.8,233.3
Arizona,Surprise,"120,793",134.1,2.5,6.6,51.3,73.7,,429.7,921.8,97.7
New York,Syracuse,"145,934",940.2,9.6,51.4,311.1,568.1,,548.45,921.8,261.8
Washington,Tacoma,"202,646",797.0,5.9,45.9,239.8,505.3,,548.45,921.8,940.6
Florida,Tallahassee,"185,461",853.0,6.5,62.0,283.1,501.5,,548.45,921.8,282.5
California,Temecula,"103,414",93.8,4.05,9.7,51.3,32.9,,568.6,921.8,205.0
Arizona,Tempe,"166,061",528.7,6.6,26.5,152.4,343.2,,752.7,921.8,294.5
Colorado,Thornton,"123,115",269.7,0.8,47.1,33.3,188.4,,386.6,921.8,284.3
California,Thousand Oaks,"129,171",121.5,4.05,17.8,35.6,68.1,,215.2,921.8,69.7
Kansas,Topeka,"128,843",599.2,11.6,30.3,183.9,373.3,,991.1,921.8,463.4
California,Torrance,"147,851",128.5,2.7,11.5,62.2,52.1,,357.8,921.8,228.6
Texas,Tyler,"100,040",535.8,3.0,45.0,92.0,395.8,,548.45,921.8,130.9
California,Vallejo,"117,912",744.6,11.9,37.3,322.3,373.2,,548.45,921.8,259.95
Washington,Vancouver,"166,375",355.8,3.0,43.3,103.4,206.2,,627.5,921.8,655.7
California,Ventura,"108,511",285.7,0.9,22.1,129.0,133.6,,717.0,921.8,259.9
California,Victorville,"118,687",569.6,5.1,33.7,187.0,343.8,,548.45,921.8,545.1
California,Visalia,"127,604",426.3,3.9,34.5,105.0,282.9,,961.6,921.8,412.2
Texas,Waco,"128,595",493.8,4.7,49.0,141.5,298.6,,548.45,921.8,120.5
